nt n field kernel bw
64 36 4D-complex axpy_h_offset_yt 604.7222
64 36 4D-complex axpy_h_offset_zt 636.3688
64 36 4D-complex axpy_h_offset_xyz 640.6927
64 36 4D-complex axpy_h_offset_xyt 635.9923
64 36 4D-complex axpy_h_offset_xzt 682.6840
64 36 4D-complex axpy_h_offset_yzt 704.1492
64 36 4D-complex axpy_h_offset_xyzt 634.3410
64 36 Gauge-SU3 su3Xsu3 113.4611
64 36 Gauge-SU3 su3Xsu3_h_no_shift 113.5011
64 36 Gauge-SU3 su3Xsu3_h_shift_x 113.7082
64 36 Gauge-SU3 su3Xsu3_h_shift_y 114.0832
64 36 Gauge-SU3 su3Xsu3_h_shift_z 114.3577
64 36 Gauge-SU3 su3Xsu3_h_shift_t 113.7650
64 36 Gauge-SU3 su3Xsu3_h_shift_xy 113.1440
64 36 Gauge-SU3 su3Xsu3_h_shift_xz 114.1122
64 36 Gauge-SU3 su3Xsu3_h_shift_xt 112.9614
64 36 Gauge-SU3 su3Xsu3_h_shift_yz 111.7543
64 36 Gauge-SU3 su3Xsu3_h_shift_yt 110.8833
64 36 Gauge-SU3 su3Xsu3_h_shift_zt 110.3660
64 36 Gauge-SU3 su3Xsu3_h_shift_xyz 111.7337
64 36 Gauge-SU3 su3Xsu3_h_shift_xyt 110.8317
64 36 Gauge-SU3 su3Xsu3_h_shift_xzt 110.9573
64 36 Gauge-SU3 su3Xsu3_h_shift_yzt 110.5487
64 36 Gauge-SU3 su3Xsu3_h_shift_xyzt 110.3789
64 40 4D-complex axpy 686.2121
64 40 4D-complex axpy_h_no_offset 681.4684
64 40 4D-complex axpy_h_offset_x 708.5279
64 40 4D-complex axpy_h_offset_y 704.9914
64 40 4D-complex axpy_h_offset_z 695.2389
64 40 4D-complex axpy_h_offset_t 696.8357
64 40 4D-complex axpy_h_offset_xy 691.7108
64 40 4D-complex axpy_h_offset_xz 702.0912
64 40 4D-complex axpy_h_offset_xt 711.0432
64 40 4D-complex axpy_h_offset_yz 755.3015
64 40 4D-complex axpy_h_offset_yt 703.2363
64 40 4D-complex axpy_h_offset_zt 677.0808
64 40 4D-complex axpy_h_offset_xyz 744.1117
64 40 4D-complex axpy_h_offset_xyt 679.5464
64 40 4D-complex axpy_h_offset_xzt 698.3802
64 40 4D-complex axpy_h_offset_yzt 696.5927
64 40 4D-complex axpy_h_offset_xyzt 725.6621
64 40 Gauge-SU3 su3Xsu3 113.8394
64 40 Gauge-SU3 su3Xsu3_h_no_shift 114.3433
64 40 Gauge-SU3 su3Xsu3_h_shift_x 113.7944
64 40 Gauge-SU3 su3Xsu3_h_shift_y 113.9332
64 40 Gauge-SU3 su3Xsu3_h_shift_z 113.7653
64 40 Gauge-SU3 su3Xsu3_h_shift_t 112.7265
64 40 Gauge-SU3 su3Xsu3_h_shift_xy 113.9249
64 40 Gauge-SU3 su3Xsu3_h_shift_xz 113.6451
64 40 Gauge-SU3 su3Xsu3_h_shift_xt 113.0833
64 40 Gauge-SU3 su3Xsu3_h_shift_yz 113.8846
64 40 Gauge-SU3 su3Xsu3_h_shift_yt 113.8171
64 40 Gauge-SU3 su3Xsu3_h_shift_zt 113.1685
64 40 Gauge-SU3 su3Xsu3_h_shift_xyz 114.5154
64 40 Gauge-SU3 su3Xsu3_h_shift_xyt 113.6411
64 40 Gauge-SU3 su3Xsu3_h_shift_xzt 113.6326
64 40 Gauge-SU3 su3Xsu3_h_shift_yzt 113.6342
64 40 Gauge-SU3 su3Xsu3_h_shift_xyzt 113.6448
64 44 4D-complex axpy 746.3493
64 44 4D-complex axpy_h_no_offset 718.4519
64 44 4D-complex axpy_h_offset_x 699.0230
64 44 4D-complex axpy_h_offset_y 736.9030
64 44 4D-complex axpy_h_offset_z 748.5852
64 44 4D-complex axpy_h_offset_t 739.1783
64 44 4D-complex axpy_h_offset_xy 724.0905
64 44 4D-complex axpy_h_offset_xz 778.8757
64 44 4D-complex axpy_h_offset_xt 739.2193
64 44 4D-complex axpy_h_offset_yz 790.2114
64 44 4D-complex axpy_h_offset_yt 703.6200
64 44 4D-complex axpy_h_offset_zt 767.3105
64 44 4D-complex axpy_h_offset_xyz 786.2228
64 44 4D-complex axpy_h_offset_xyt 708.7760
64 44 4D-complex axpy_h_offset_xzt 795.3519
64 44 4D-complex axpy_h_offset_yzt 783.5007
64 44 4D-complex axpy_h_offset_xyzt 764.0405
64 44 Gauge-SU3 su3Xsu3 114.1230
64 44 Gauge-SU3 su3Xsu3_h_no_shift 113.8504
64 44 Gauge-SU3 su3Xsu3_h_shift_x 114.5224
64 44 Gauge-SU3 su3Xsu3_h_shift_y 114.0198
64 44 Gauge-SU3 su3Xsu3_h_shift_z 114.1529
64 44 Gauge-SU3 su3Xsu3_h_shift_t 113.6912
64 44 Gauge-SU3 su3Xsu3_h_shift_xy 114.7660
64 44 Gauge-SU3 su3Xsu3_h_shift_xz 114.6448
64 44 Gauge-SU3 su3Xsu3_h_shift_xt 113.6670
64 44 Gauge-SU3 su3Xsu3_h_shift_yz 114.6633
64 44 Gauge-SU3 su3Xsu3_h_shift_yt 113.5951
64 44 Gauge-SU3 su3Xsu3_h_shift_zt 113.6111
64 44 Gauge-SU3 su3Xsu3_h_shift_xyz 114.0936
64 44 Gauge-SU3 su3Xsu3_h_shift_xyt 113.0380
64 44 Gauge-SU3 su3Xsu3_h_shift_xzt 113.4473
64 44 Gauge-SU3 su3Xsu3_h_shift_yzt 113.2554
64 44 Gauge-SU3 su3Xsu3_h_shift_xyzt 113.0206
64 48 4D-complex axpy 196.5525
64 48 4D-complex axpy_h_no_offset 291.9003
64 48 4D-complex axpy_h_offset_x 447.1516
64 48 4D-complex axpy_h_offset_y 776.8970
64 48 4D-complex axpy_h_offset_z 808.2433
64 48 4D-complex axpy_h_offset_t 727.6756
64 48 4D-complex axpy_h_offset_xy 698.4729
64 48 4D-complex axpy_h_offset_xz 793.1147
64 48 4D-complex axpy_h_offset_xt 706.9611
64 48 4D-complex axpy_h_offset_yz 824.2842
64 48 4D-complex axpy_h_offset_yt 771.7123
64 48 4D-complex axpy_h_offset_zt 802.7054
64 48 4D-complex axpy_h_offset_xyz 823.4850
64 48 4D-complex axpy_h_offset_xyt 734.0589
64 48 4D-complex axpy_h_offset_xzt 784.7209
64 48 4D-complex axpy_h_offset_yzt 806.9379
64 48 4D-complex axpy_h_offset_xyzt 823.0860
64 48 Gauge-SU3 su3Xsu3 112.6113
64 48 Gauge-SU3 su3Xsu3_h_no_shift 113.4454
64 48 Gauge-SU3 su3Xsu3_h_shift_x 113.8059
64 48 Gauge-SU3 su3Xsu3_h_shift_y 113.6988
64 48 Gauge-SU3 su3Xsu3_h_shift_z 113.5257
64 48 Gauge-SU3 su3Xsu3_h_shift_t 113.2651
64 48 Gauge-SU3 su3Xsu3_h_shift_xy 114.0947
64 48 Gauge-SU3 su3Xsu3_h_shift_xz 114.3641
64 48 Gauge-SU3 su3Xsu3_h_shift_xt 113.5417
64 48 Gauge-SU3 su3Xsu3_h_shift_yz 114.7550
64 48 Gauge-SU3 su3Xsu3_h_shift_yt 113.7526
64 48 Gauge-SU3 su3Xsu3_h_shift_zt 113.3292
64 48 Gauge-SU3 su3Xsu3_h_shift_xyz 114.0208
