nt n field kernel bw
32 28 Gauge-SU3 su3Xsu3_h_shift_yz 991.2622
32 28 Gauge-SU3 su3Xsu3_h_shift_yt 986.1084
32 28 Gauge-SU3 su3Xsu3_h_shift_zt 987.7592
32 28 Gauge-SU3 su3Xsu3_h_shift_xyz 981.7878
32 28 Gauge-SU3 su3Xsu3_h_shift_xyt 982.3417
32 28 Gauge-SU3 su3Xsu3_h_shift_xzt 983.2966
32 28 Gauge-SU3 su3Xsu3_h_shift_yzt 987.6673
32 28 Gauge-SU3 su3Xsu3_h_shift_xyzt 983.1055
32 32 4D-complex axpy 863.4697
32 32 4D-complex axpy_h_no_offset 876.7587
32 32 4D-complex axpy_h_offset_x 817.8024
32 32 4D-complex axpy_h_offset_y 917.0383
32 32 4D-complex axpy_h_offset_z 914.2897
32 32 4D-complex axpy_h_offset_t 912.3010
32 32 4D-complex axpy_h_offset_xy 809.3206
32 32 4D-complex axpy_h_offset_xz 793.7932
32 32 4D-complex axpy_h_offset_xt 814.8235
32 32 4D-complex axpy_h_offset_yz 892.4051
32 32 4D-complex axpy_h_offset_yt 921.0407
32 32 4D-complex axpy_h_offset_zt 922.5854
32 32 4D-complex axpy_h_offset_xyz 796.0719
32 32 4D-complex axpy_h_offset_xyt 808.5210
32 32 4D-complex axpy_h_offset_xzt 820.4018
32 32 4D-complex axpy_h_offset_yzt 908.5955
32 32 4D-complex axpy_h_offset_xyzt 789.5160
32 32 Gauge-SU3 su3Xsu3 905.1614
32 32 Gauge-SU3 su3Xsu3_h_no_shift 907.7238
32 32 Gauge-SU3 su3Xsu3_h_shift_x 904.4615
32 32 Gauge-SU3 su3Xsu3_h_shift_y 906.5340
32 32 Gauge-SU3 su3Xsu3_h_shift_z 909.9662
32 32 Gauge-SU3 su3Xsu3_h_shift_t 905.4241
32 32 Gauge-SU3 su3Xsu3_h_shift_xy 907.2961
32 32 Gauge-SU3 su3Xsu3_h_shift_xz 906.2887
32 32 Gauge-SU3 su3Xsu3_h_shift_xt 903.6536
32 32 Gauge-SU3 su3Xsu3_h_shift_yz 907.0282
32 32 Gauge-SU3 su3Xsu3_h_shift_yt 908.4971
32 32 Gauge-SU3 su3Xsu3_h_shift_zt 909.4962
32 32 Gauge-SU3 su3Xsu3_h_shift_xyz 902.4204
32 32 Gauge-SU3 su3Xsu3_h_shift_xyt 904.5247
32 32 Gauge-SU3 su3Xsu3_h_shift_xzt 902.9111
32 32 Gauge-SU3 su3Xsu3_h_shift_yzt 906.8466
32 32 Gauge-SU3 su3Xsu3_h_shift_xyzt 903.0235
32 36 4D-complex axpy 736.8757
32 36 4D-complex axpy_h_no_offset 740.6225
32 36 4D-complex axpy_h_offset_x 697.8319
32 36 4D-complex axpy_h_offset_y 726.6052
32 36 4D-complex axpy_h_offset_z 733.0566
32 36 4D-complex axpy_h_offset_t 738.7900
32 36 4D-complex axpy_h_offset_xy 704.7032
32 36 4D-complex axpy_h_offset_xz 699.2937
32 36 4D-complex axpy_h_offset_xt 706.5467
32 36 4D-complex axpy_h_offset_yz 724.3529
32 36 4D-complex axpy_h_offset_yt 730.9531
32 36 4D-complex axpy_h_offset_zt 745.9676
32 36 4D-complex axpy_h_offset_xyz 698.4758
32 36 4D-complex axpy_h_offset_xyt 699.1027
32 36 4D-complex axpy_h_offset_xzt 708.1292
32 36 4D-complex axpy_h_offset_yzt 725.5361
32 36 4D-complex axpy_h_offset_xyzt 695.6642
32 36 Gauge-SU3 su3Xsu3 994.1235
32 36 Gauge-SU3 su3Xsu3_h_no_shift 995.1188
32 36 Gauge-SU3 su3Xsu3_h_shift_x 993.4668
32 36 Gauge-SU3 su3Xsu3_h_shift_y 997.1736
32 36 Gauge-SU3 su3Xsu3_h_shift_z 997.0986
32 36 Gauge-SU3 su3Xsu3_h_shift_t 996.9133
32 36 Gauge-SU3 su3Xsu3_h_shift_xy 992.5593
32 36 Gauge-SU3 su3Xsu3_h_shift_xz 993.8206
32 36 Gauge-SU3 su3Xsu3_h_shift_xt 996.1571
32 36 Gauge-SU3 su3Xsu3_h_shift_yz 996.8345
32 36 Gauge-SU3 su3Xsu3_h_shift_yt 998.8792
32 36 Gauge-SU3 su3Xsu3_h_shift_zt 998.8655
